2024-04-03 10:07:45,622 - {'calling_function_name': '__spellcheck', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_patient_journey_preprocessor.py', 'calling_line': 40, 'tokens_used': 1289}
2024-04-03 10:08:45,563 - {'calling_function_name': '__extract_start', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 42, 'tokens_used': 863}
2024-04-03 10:08:47,202 - {'calling_function_name': '__extract_start', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 42, 'tokens_used': 861}
2024-04-03 10:09:34,226 - {'calling_function_name': '__spellcheck', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_patient_journey_preprocessor.py', 'calling_line': 40, 'tokens_used': 1171}
2024-04-03 10:09:41,176 - {'calling_function_name': '__punctuationcheck', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_patient_journey_preprocessor.py', 'calling_line': 50, 'tokens_used': 1220}
2024-04-03 10:09:48,414 - {'calling_function_name': '__identify_timestamps', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_patient_journey_preprocessor.py', 'calling_line': 60, 'tokens_used': 1433}
2024-04-03 10:09:55,138 - {'calling_function_name': '__transform_timestamps', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_patient_journey_preprocessor.py', 'calling_line': 70, 'tokens_used': 1492}
2024-04-03 10:10:01,743 - {'calling_function_name': '__interpret_timestamps', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_patient_journey_preprocessor.py', 'calling_line': 90, 'tokens_used': 1406}
2024-04-03 10:10:08,604 - {'calling_function_name': '__calculate_timestamps', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_patient_journey_preprocessor.py', 'calling_line': 80, 'tokens_used': 1456}
2024-04-03 10:10:10,548 - {'calling_function_name': '__extract_cohort_tags', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_cohort_tagger.py', 'calling_line': 36, 'tokens_used': 801}
2024-04-03 10:10:11,961 - {'calling_function_name': '__extract_cohort_tags', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_cohort_tagger.py', 'calling_line': 36, 'tokens_used': 964}
2024-04-03 10:10:13,348 - {'calling_function_name': '__extract_cohort_tags', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_cohort_tagger.py', 'calling_line': 36, 'tokens_used': 911}
2024-04-03 10:10:15,169 - {'calling_function_name': '__extract_cohort_tags', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_cohort_tagger.py', 'calling_line': 36, 'tokens_used': 873}
2024-04-03 10:10:16,999 - {'calling_function_name': '__extract_cohort_tags', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_cohort_tagger.py', 'calling_line': 36, 'tokens_used': 871}
2024-04-03 10:10:19,538 - {'calling_function_name': '__extract_activities', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_activity_labeler.py', 'calling_line': 39, 'tokens_used': 1218}
2024-04-03 10:10:21,166 - {'calling_function_name': '__extract_start', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 42, 'tokens_used': 791}
2024-04-03 10:10:22,308 - {'calling_function_name': '__extract_start', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 42, 'tokens_used': 790}
2024-04-03 10:10:23,568 - {'calling_function_name': '__extract_start', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 42, 'tokens_used': 788}
2024-04-03 10:10:24,902 - {'calling_function_name': '__extract_start', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 42, 'tokens_used': 788}
2024-04-03 10:10:26,689 - {'calling_function_name': '__extract_start', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 42, 'tokens_used': 789}
2024-04-03 10:10:28,056 - {'calling_function_name': '__extract_start', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 42, 'tokens_used': 788}
2024-04-03 10:10:29,569 - {'calling_function_name': '__extract_start', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 42, 'tokens_used': 788}
2024-04-03 10:10:30,945 - {'calling_function_name': '__extract_start', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 42, 'tokens_used': 788}
2024-04-03 10:10:32,457 - {'calling_function_name': '__extract_start', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 42, 'tokens_used': 797}
2024-04-03 10:10:33,730 - {'calling_function_name': '__extract_start', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 42, 'tokens_used': 787}
2024-04-03 10:10:35,109 - {'calling_function_name': '__extract_end_date', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 56, 'tokens_used': 804}
2024-04-03 10:10:36,498 - {'calling_function_name': '__extract_end_date', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 56, 'tokens_used': 803}
2024-04-03 10:10:38,088 - {'calling_function_name': '__extract_end_date', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 56, 'tokens_used': 801}
2024-04-03 10:10:39,604 - {'calling_function_name': '__extract_end_date', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 56, 'tokens_used': 801}
2024-04-03 10:10:41,326 - {'calling_function_name': '__extract_end_date', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 56, 'tokens_used': 802}
2024-04-03 10:10:43,077 - {'calling_function_name': '__extract_end_date', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 56, 'tokens_used': 801}
2024-04-03 10:10:44,308 - {'calling_function_name': '__extract_end_date', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 56, 'tokens_used': 801}
2024-04-03 10:10:45,849 - {'calling_function_name': '__extract_end_date', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 56, 'tokens_used': 801}
2024-04-03 10:10:47,258 - {'calling_function_name': '__extract_end_date', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 56, 'tokens_used': 810}
2024-04-03 10:10:48,950 - {'calling_function_name': '__extract_end_date', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 56, 'tokens_used': 800}
2024-04-03 10:10:51,000 - {'calling_function_name': '__classify_event_type', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 49, 'tokens_used': 585}
2024-04-03 10:10:52,143 - {'calling_function_name': '__classify_event_type', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 57, 'tokens_used': 450}
2024-04-03 10:10:58,710 - {'calling_function_name': '__classify_event_type', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 49, 'tokens_used': 884}
2024-04-03 10:11:00,327 - {'calling_function_name': '__classify_event_type', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 57, 'tokens_used': 749}
2024-04-03 10:11:07,644 - {'calling_function_name': '__classify_event_type', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 49, 'tokens_used': 992}
2024-04-03 10:11:09,277 - {'calling_function_name': '__classify_event_type', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 57, 'tokens_used': 858}
2024-04-03 10:11:15,862 - {'calling_function_name': '__classify_event_type', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 49, 'tokens_used': 924}
2024-04-03 10:11:17,912 - {'calling_function_name': '__classify_event_type', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 57, 'tokens_used': 790}
2024-04-03 10:11:21,519 - {'calling_function_name': '__classify_event_type', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 49, 'tokens_used': 670}
2024-04-03 10:11:22,996 - {'calling_function_name': '__classify_event_type', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 57, 'tokens_used': 535}
2024-04-03 10:11:32,147 - {'calling_function_name': '__classify_event_type', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 49, 'tokens_used': 1004}
2024-04-03 10:11:33,907 - {'calling_function_name': '__classify_event_type', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 57, 'tokens_used': 870}
2024-04-03 10:11:42,009 - {'calling_function_name': '__classify_event_type', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 49, 'tokens_used': 969}
2024-04-03 10:11:43,554 - {'calling_function_name': '__classify_event_type', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 57, 'tokens_used': 837}
2024-04-03 10:11:46,676 - {'calling_function_name': '__classify_event_type', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 49, 'tokens_used': 649}
2024-04-03 10:11:48,093 - {'calling_function_name': '__classify_event_type', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 57, 'tokens_used': 515}
2024-04-03 10:11:55,336 - {'calling_function_name': '__classify_event_type', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 49, 'tokens_used': 868}
2024-04-03 10:11:57,025 - {'calling_function_name': '__classify_event_type', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 57, 'tokens_used': 727}
2024-04-03 10:12:02,785 - {'calling_function_name': '__classify_event_type', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 49, 'tokens_used': 882}
2024-04-03 10:12:04,259 - {'calling_function_name': '__classify_event_type', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 57, 'tokens_used': 750}
2024-04-03 10:12:06,173 - {'calling_function_name': '__classify_location', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_location_extractor.py', 'calling_line': 43, 'tokens_used': 497}
2024-04-03 10:12:07,650 - {'calling_function_name': '__classify_location', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_location_extractor.py', 'calling_line': 52, 'tokens_used': 395}
2024-04-03 10:12:09,376 - {'calling_function_name': '__classify_location', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_location_extractor.py', 'calling_line': 43, 'tokens_used': 488}
2024-04-03 10:12:10,904 - {'calling_function_name': '__classify_location', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_location_extractor.py', 'calling_line': 52, 'tokens_used': 382}
2024-04-03 10:12:13,077 - {'calling_function_name': '__classify_location', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_location_extractor.py', 'calling_line': 43, 'tokens_used': 526}
2024-04-03 10:12:14,579 - {'calling_function_name': '__classify_location', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_location_extractor.py', 'calling_line': 52, 'tokens_used': 421}
2024-04-03 10:12:16,948 - {'calling_function_name': '__classify_location', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_location_extractor.py', 'calling_line': 43, 'tokens_used': 525}
2024-04-03 10:12:18,357 - {'calling_function_name': '__classify_location', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_location_extractor.py', 'calling_line': 52, 'tokens_used': 420}
2024-04-03 10:12:20,532 - {'calling_function_name': '__classify_location', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_location_extractor.py', 'calling_line': 43, 'tokens_used': 509}
2024-04-03 10:12:21,992 - {'calling_function_name': '__classify_location', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_location_extractor.py', 'calling_line': 52, 'tokens_used': 403}
2024-04-03 10:12:23,504 - {'calling_function_name': '__classify_location', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_location_extractor.py', 'calling_line': 43, 'tokens_used': 473}
2024-04-03 10:12:25,743 - {'calling_function_name': '__classify_location', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_location_extractor.py', 'calling_line': 52, 'tokens_used': 368}
2024-04-03 10:12:27,468 - {'calling_function_name': '__classify_location', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_location_extractor.py', 'calling_line': 43, 'tokens_used': 479}
2024-04-03 10:12:28,715 - {'calling_function_name': '__classify_location', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_location_extractor.py', 'calling_line': 52, 'tokens_used': 374}
2024-04-03 10:12:30,895 - {'calling_function_name': '__classify_location', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_location_extractor.py', 'calling_line': 43, 'tokens_used': 527}
2024-04-03 10:12:32,350 - {'calling_function_name': '__classify_location', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_location_extractor.py', 'calling_line': 52, 'tokens_used': 422}
2024-04-03 10:12:33,980 - {'calling_function_name': '__classify_location', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_location_extractor.py', 'calling_line': 43, 'tokens_used': 508}
2024-04-03 10:12:35,380 - {'calling_function_name': '__classify_location', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_location_extractor.py', 'calling_line': 52, 'tokens_used': 394}
2024-04-03 10:12:37,432 - {'calling_function_name': '__classify_location', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_location_extractor.py', 'calling_line': 43, 'tokens_used': 512}
2024-04-03 10:12:39,085 - {'calling_function_name': '__classify_location', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_location_extractor.py', 'calling_line': 52, 'tokens_used': 408}
2024-04-03 10:17:38,837 - {'calling_function_name': '__spellcheck', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_patient_journey_preprocessor.py', 'calling_line': 40, 'tokens_used': 1186}
2024-04-03 10:17:40,472 - {'calling_function_name': '__punctuationcheck', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_patient_journey_preprocessor.py', 'calling_line': 50, 'tokens_used': 854}
2024-04-03 10:17:49,506 - {'calling_function_name': '__identify_timestamps', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_patient_journey_preprocessor.py', 'calling_line': 60, 'tokens_used': 1580}
2024-04-03 10:19:01,352 - {'calling_function_name': '__spellcheck', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_patient_journey_preprocessor.py', 'calling_line': 40, 'tokens_used': 1171}
2024-04-03 10:19:07,271 - {'calling_function_name': '__punctuationcheck', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_patient_journey_preprocessor.py', 'calling_line': 50, 'tokens_used': 1220}
2024-04-03 10:19:14,743 - {'calling_function_name': '__identify_timestamps', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_patient_journey_preprocessor.py', 'calling_line': 60, 'tokens_used': 1433}
2024-04-03 10:19:20,603 - {'calling_function_name': '__transform_timestamps', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_patient_journey_preprocessor.py', 'calling_line': 70, 'tokens_used': 1496}
2024-04-03 10:19:27,646 - {'calling_function_name': '__interpret_timestamps', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_patient_journey_preprocessor.py', 'calling_line': 90, 'tokens_used': 1410}
2024-04-03 10:19:35,760 - {'calling_function_name': '__calculate_timestamps', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_patient_journey_preprocessor.py', 'calling_line': 80, 'tokens_used': 1456}
2024-04-03 10:19:37,876 - {'calling_function_name': '__extract_cohort_tags', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_cohort_tagger.py', 'calling_line': 36, 'tokens_used': 801}
2024-04-03 10:19:39,738 - {'calling_function_name': '__extract_cohort_tags', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_cohort_tagger.py', 'calling_line': 36, 'tokens_used': 964}
2024-04-03 10:19:41,014 - {'calling_function_name': '__extract_cohort_tags', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_cohort_tagger.py', 'calling_line': 36, 'tokens_used': 911}
2024-04-03 10:19:42,734 - {'calling_function_name': '__extract_cohort_tags', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_cohort_tagger.py', 'calling_line': 36, 'tokens_used': 873}
2024-04-03 10:19:44,538 - {'calling_function_name': '__extract_cohort_tags', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_cohort_tagger.py', 'calling_line': 36, 'tokens_used': 868}
2024-04-03 10:19:46,428 - {'calling_function_name': '__extract_activities', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_activity_labeler.py', 'calling_line': 39, 'tokens_used': 1218}
2024-04-03 10:19:48,568 - {'calling_function_name': '__extract_start', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 42, 'tokens_used': 791}
2024-04-03 10:19:49,828 - {'calling_function_name': '__extract_start', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 42, 'tokens_used': 790}
2024-04-03 10:19:51,226 - {'calling_function_name': '__extract_start', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 42, 'tokens_used': 788}
2024-04-03 10:19:52,783 - {'calling_function_name': '__extract_start', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 42, 'tokens_used': 788}
2024-04-03 10:19:54,980 - {'calling_function_name': '__extract_start', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 42, 'tokens_used': 789}
2024-04-03 10:19:56,652 - {'calling_function_name': '__extract_start', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 42, 'tokens_used': 788}
2024-04-03 10:19:58,426 - {'calling_function_name': '__extract_start', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 42, 'tokens_used': 788}
2024-04-03 10:19:59,868 - {'calling_function_name': '__extract_start', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 42, 'tokens_used': 788}
2024-04-03 10:20:01,123 - {'calling_function_name': '__extract_start', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 42, 'tokens_used': 797}
2024-04-03 10:20:02,780 - {'calling_function_name': '__extract_start', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 42, 'tokens_used': 787}
2024-04-03 10:20:04,155 - {'calling_function_name': '__extract_end_date', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 56, 'tokens_used': 804}
2024-04-03 10:20:05,653 - {'calling_function_name': '__extract_end_date', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 56, 'tokens_used': 803}
2024-04-03 10:20:07,051 - {'calling_function_name': '__extract_end_date', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 56, 'tokens_used': 801}
2024-04-03 10:20:08,444 - {'calling_function_name': '__extract_end_date', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 56, 'tokens_used': 801}
2024-04-03 10:20:09,884 - {'calling_function_name': '__extract_end_date', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 56, 'tokens_used': 802}
2024-04-03 10:20:11,491 - {'calling_function_name': '__extract_end_date', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 56, 'tokens_used': 801}
2024-04-03 10:20:13,090 - {'calling_function_name': '__extract_end_date', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 56, 'tokens_used': 801}
2024-04-03 10:20:14,631 - {'calling_function_name': '__extract_end_date', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 56, 'tokens_used': 801}
2024-04-03 10:20:16,041 - {'calling_function_name': '__extract_end_date', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 56, 'tokens_used': 810}
2024-04-03 10:20:17,471 - {'calling_function_name': '__extract_end_date', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_time_extractor_backup.py', 'calling_line': 56, 'tokens_used': 800}
2024-04-03 10:20:25,182 - {'calling_function_name': '__classify_event_type', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 49, 'tokens_used': 1006}
2024-04-03 10:20:26,902 - {'calling_function_name': '__classify_event_type', 'calling_file': '/home/tkv29/progress-bar/TracEX/tracex/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 57, 'tokens_used': 871}
