Placeholder for log data
2024-04-18 12:10:59,471 - {'calling_function_name': '__extract_activities', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_activity_labeler.py', 'calling_line': 39, 'tokens_used': 386, 'input_tokens_used': 375, 'output_tokens_used': 11}
2024-04-18 12:13:10,498 - {'calling_function_name': '__extract_start_date', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_time_extractor.py', 'calling_line': 48, 'tokens_used': 641, 'input_tokens_used': 635, 'output_tokens_used': 6}
2024-04-18 12:13:11,143 - {'calling_function_name': '__extract_start_date', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_time_extractor.py', 'calling_line': 48, 'tokens_used': 661, 'input_tokens_used': 655, 'output_tokens_used': 6}
2024-04-18 12:13:11,753 - {'calling_function_name': '__extract_start_date', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_time_extractor.py', 'calling_line': 48, 'tokens_used': 682, 'input_tokens_used': 676, 'output_tokens_used': 6}
2024-04-18 12:13:12,270 - {'calling_function_name': '__extract_start_date', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_time_extractor.py', 'calling_line': 48, 'tokens_used': 670, 'input_tokens_used': 668, 'output_tokens_used': 2}
2024-04-18 12:13:12,756 - {'calling_function_name': '__extract_start_date', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_time_extractor.py', 'calling_line': 48, 'tokens_used': 673, 'input_tokens_used': 671, 'output_tokens_used': 2}
2024-04-18 12:13:13,373 - {'calling_function_name': '__extract_start_date', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_time_extractor.py', 'calling_line': 48, 'tokens_used': 676, 'input_tokens_used': 674, 'output_tokens_used': 2}
2024-04-18 12:13:14,007 - {'calling_function_name': '__extract_start_date', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_time_extractor.py', 'calling_line': 48, 'tokens_used': 686, 'input_tokens_used': 684, 'output_tokens_used': 2}
2024-04-18 12:13:14,726 - {'calling_function_name': '__extract_start_date', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_time_extractor.py', 'calling_line': 48, 'tokens_used': 690, 'input_tokens_used': 688, 'output_tokens_used': 2}
2024-04-18 12:13:15,341 - {'calling_function_name': '__extract_start_date', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_time_extractor.py', 'calling_line': 48, 'tokens_used': 694, 'input_tokens_used': 692, 'output_tokens_used': 2}
2024-04-18 12:13:15,871 - {'calling_function_name': '__extract_start_date', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_time_extractor.py', 'calling_line': 48, 'tokens_used': 663, 'input_tokens_used': 661, 'output_tokens_used': 2}
2024-04-18 12:13:16,473 - {'calling_function_name': '__extract_start_date', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_time_extractor.py', 'calling_line': 48, 'tokens_used': 639, 'input_tokens_used': 637, 'output_tokens_used': 2}
2024-04-18 12:13:17,183 - {'calling_function_name': '__extract_end_date', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_time_extractor.py', 'calling_line': 67, 'tokens_used': 785, 'input_tokens_used': 779, 'output_tokens_used': 6}
2024-04-18 12:13:17,750 - {'calling_function_name': '__extract_end_date', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_time_extractor.py', 'calling_line': 67, 'tokens_used': 805, 'input_tokens_used': 799, 'output_tokens_used': 6}
2024-04-18 12:13:18,348 - {'calling_function_name': '__extract_end_date', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_time_extractor.py', 'calling_line': 67, 'tokens_used': 826, 'input_tokens_used': 820, 'output_tokens_used': 6}
2024-04-18 12:13:18,944 - {'calling_function_name': '__extract_end_date', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_time_extractor.py', 'calling_line': 67, 'tokens_used': 809, 'input_tokens_used': 807, 'output_tokens_used': 2}
2024-04-18 12:13:19,520 - {'calling_function_name': '__extract_end_date', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_time_extractor.py', 'calling_line': 67, 'tokens_used': 812, 'input_tokens_used': 810, 'output_tokens_used': 2}
2024-04-18 12:13:20,190 - {'calling_function_name': '__extract_end_date', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_time_extractor.py', 'calling_line': 67, 'tokens_used': 815, 'input_tokens_used': 813, 'output_tokens_used': 2}
2024-04-18 12:13:20,656 - {'calling_function_name': '__extract_end_date', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_time_extractor.py', 'calling_line': 67, 'tokens_used': 825, 'input_tokens_used': 823, 'output_tokens_used': 2}
2024-04-18 12:13:21,252 - {'calling_function_name': '__extract_end_date', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_time_extractor.py', 'calling_line': 67, 'tokens_used': 829, 'input_tokens_used': 827, 'output_tokens_used': 2}
2024-04-18 12:13:21,710 - {'calling_function_name': '__extract_end_date', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_time_extractor.py', 'calling_line': 67, 'tokens_used': 833, 'input_tokens_used': 831, 'output_tokens_used': 2}
2024-04-18 12:13:22,320 - {'calling_function_name': '__extract_end_date', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_time_extractor.py', 'calling_line': 67, 'tokens_used': 802, 'input_tokens_used': 800, 'output_tokens_used': 2}
2024-04-18 12:13:22,870 - {'calling_function_name': '__extract_end_date', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_time_extractor.py', 'calling_line': 67, 'tokens_used': 778, 'input_tokens_used': 776, 'output_tokens_used': 2}
2024-04-18 12:13:23,479 - {'calling_function_name': '__classify_event_type', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 43, 'tokens_used': 239, 'input_tokens_used': 235, 'output_tokens_used': 4}
2024-04-18 12:13:24,092 - {'calling_function_name': '__classify_event_type', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 43, 'tokens_used': 245, 'input_tokens_used': 241, 'output_tokens_used': 4}
2024-04-18 12:13:24,627 - {'calling_function_name': '__classify_event_type', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 43, 'tokens_used': 241, 'input_tokens_used': 239, 'output_tokens_used': 2}
2024-04-18 12:13:25,176 - {'calling_function_name': '__classify_event_type', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 43, 'tokens_used': 242, 'input_tokens_used': 241, 'output_tokens_used': 1}
2024-04-18 12:13:25,862 - {'calling_function_name': '__classify_event_type', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 43, 'tokens_used': 238, 'input_tokens_used': 235, 'output_tokens_used': 3}
2024-04-18 12:13:26,507 - {'calling_function_name': '__classify_event_type', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 43, 'tokens_used': 241, 'input_tokens_used': 238, 'output_tokens_used': 3}
2024-04-18 12:13:27,031 - {'calling_function_name': '__classify_event_type', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 43, 'tokens_used': 240, 'input_tokens_used': 238, 'output_tokens_used': 2}
2024-04-18 12:13:27,633 - {'calling_function_name': '__classify_event_type', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 43, 'tokens_used': 244, 'input_tokens_used': 242, 'output_tokens_used': 2}
2024-04-18 12:13:28,246 - {'calling_function_name': '__classify_event_type', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 43, 'tokens_used': 240, 'input_tokens_used': 239, 'output_tokens_used': 1}
2024-04-18 12:13:30,733 - {'calling_function_name': '__classify_event_type', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 43, 'tokens_used': 244, 'input_tokens_used': 241, 'output_tokens_used': 3}
2024-04-18 12:13:31,319 - {'calling_function_name': '__classify_event_type', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_event_type_classifier.py', 'calling_line': 43, 'tokens_used': 246, 'input_tokens_used': 243, 'output_tokens_used': 3}
2024-04-18 12:13:31,964 - {'calling_function_name': '__classify_location', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_location_extractor.py', 'calling_line': 41, 'tokens_used': 200, 'input_tokens_used': 199, 'output_tokens_used': 1}
2024-04-18 12:13:32,523 - {'calling_function_name': '__classify_location', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_location_extractor.py', 'calling_line': 41, 'tokens_used': 206, 'input_tokens_used': 205, 'output_tokens_used': 1}
2024-04-18 12:13:33,138 - {'calling_function_name': '__classify_location', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_location_extractor.py', 'calling_line': 41, 'tokens_used': 204, 'input_tokens_used': 203, 'output_tokens_used': 1}
2024-04-18 12:13:33,674 - {'calling_function_name': '__classify_location', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_location_extractor.py', 'calling_line': 41, 'tokens_used': 206, 'input_tokens_used': 205, 'output_tokens_used': 1}
2024-04-18 12:13:34,185 - {'calling_function_name': '__classify_location', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_location_extractor.py', 'calling_line': 41, 'tokens_used': 200, 'input_tokens_used': 199, 'output_tokens_used': 1}
2024-04-18 12:13:34,792 - {'calling_function_name': '__classify_location', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_location_extractor.py', 'calling_line': 41, 'tokens_used': 203, 'input_tokens_used': 202, 'output_tokens_used': 1}
2024-04-18 12:13:35,415 - {'calling_function_name': '__classify_location', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_location_extractor.py', 'calling_line': 41, 'tokens_used': 203, 'input_tokens_used': 202, 'output_tokens_used': 1}
2024-04-18 12:13:35,965 - {'calling_function_name': '__classify_location', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_location_extractor.py', 'calling_line': 41, 'tokens_used': 207, 'input_tokens_used': 206, 'output_tokens_used': 1}
2024-04-18 12:13:36,442 - {'calling_function_name': '__classify_location', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_location_extractor.py', 'calling_line': 41, 'tokens_used': 204, 'input_tokens_used': 203, 'output_tokens_used': 1}
2024-04-18 12:13:36,985 - {'calling_function_name': '__classify_location', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_location_extractor.py', 'calling_line': 41, 'tokens_used': 206, 'input_tokens_used': 205, 'output_tokens_used': 1}
2024-04-18 12:13:37,464 - {'calling_function_name': '__classify_location', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_location_extractor.py', 'calling_line': 41, 'tokens_used': 208, 'input_tokens_used': 207, 'output_tokens_used': 1}
2024-04-18 12:13:37,997 - {'calling_function_name': '__rate_activity_relevance', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_metrics_analyzer.py', 'calling_line': 68, 'tokens_used': 285, 'input_tokens_used': 282, 'output_tokens_used': 3}
2024-04-18 12:13:38,592 - {'calling_function_name': '__rate_activity_relevance', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_metrics_analyzer.py', 'calling_line': 68, 'tokens_used': 291, 'input_tokens_used': 288, 'output_tokens_used': 3}
2024-04-18 12:13:39,227 - {'calling_function_name': '__rate_activity_relevance', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_metrics_analyzer.py', 'calling_line': 68, 'tokens_used': 289, 'input_tokens_used': 286, 'output_tokens_used': 3}
2024-04-18 12:13:39,718 - {'calling_function_name': '__rate_activity_relevance', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_metrics_analyzer.py', 'calling_line': 68, 'tokens_used': 291, 'input_tokens_used': 288, 'output_tokens_used': 3}
2024-04-18 12:13:40,223 - {'calling_function_name': '__rate_activity_relevance', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_metrics_analyzer.py', 'calling_line': 68, 'tokens_used': 285, 'input_tokens_used': 282, 'output_tokens_used': 3}
2024-04-18 12:13:40,740 - {'calling_function_name': '__rate_activity_relevance', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_metrics_analyzer.py', 'calling_line': 68, 'tokens_used': 288, 'input_tokens_used': 285, 'output_tokens_used': 3}
2024-04-18 12:13:41,339 - {'calling_function_name': '__rate_activity_relevance', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_metrics_analyzer.py', 'calling_line': 68, 'tokens_used': 288, 'input_tokens_used': 285, 'output_tokens_used': 3}
2024-04-18 12:13:41,865 - {'calling_function_name': '__rate_activity_relevance', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_metrics_analyzer.py', 'calling_line': 68, 'tokens_used': 292, 'input_tokens_used': 289, 'output_tokens_used': 3}
2024-04-18 12:13:42,603 - {'calling_function_name': '__rate_activity_relevance', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_metrics_analyzer.py', 'calling_line': 68, 'tokens_used': 290, 'input_tokens_used': 286, 'output_tokens_used': 4}
2024-04-18 12:13:43,201 - {'calling_function_name': '__rate_activity_relevance', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_metrics_analyzer.py', 'calling_line': 68, 'tokens_used': 292, 'input_tokens_used': 288, 'output_tokens_used': 4}
2024-04-18 12:13:43,684 - {'calling_function_name': '__rate_activity_relevance', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_metrics_analyzer.py', 'calling_line': 68, 'tokens_used': 293, 'input_tokens_used': 290, 'output_tokens_used': 3}
2024-04-18 12:13:44,217 - {'calling_function_name': '__rate_timestamps_correctness', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_metrics_analyzer.py', 'calling_line': 89, 'tokens_used': 1052, 'input_tokens_used': 1051, 'output_tokens_used': 1}
2024-04-18 12:13:44,839 - {'calling_function_name': '__rate_timestamps_correctness', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_metrics_analyzer.py', 'calling_line': 89, 'tokens_used': 1056, 'input_tokens_used': 1055, 'output_tokens_used': 1}
2024-04-18 12:13:45,348 - {'calling_function_name': '__rate_timestamps_correctness', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_metrics_analyzer.py', 'calling_line': 89, 'tokens_used': 1055, 'input_tokens_used': 1054, 'output_tokens_used': 1}
2024-04-18 12:13:45,983 - {'calling_function_name': '__rate_timestamps_correctness', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_metrics_analyzer.py', 'calling_line': 89, 'tokens_used': 1058, 'input_tokens_used': 1057, 'output_tokens_used': 1}
2024-04-18 12:13:46,682 - {'calling_function_name': '__rate_timestamps_correctness', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_metrics_analyzer.py', 'calling_line': 89, 'tokens_used': 1052, 'input_tokens_used': 1051, 'output_tokens_used': 1}
2024-04-18 12:13:47,193 - {'calling_function_name': '__rate_timestamps_correctness', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_metrics_analyzer.py', 'calling_line': 89, 'tokens_used': 1054, 'input_tokens_used': 1053, 'output_tokens_used': 1}
2024-04-18 12:13:47,776 - {'calling_function_name': '__rate_timestamps_correctness', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_metrics_analyzer.py', 'calling_line': 89, 'tokens_used': 1054, 'input_tokens_used': 1053, 'output_tokens_used': 1}
2024-04-18 12:13:48,321 - {'calling_function_name': '__rate_timestamps_correctness', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_metrics_analyzer.py', 'calling_line': 89, 'tokens_used': 1058, 'input_tokens_used': 1057, 'output_tokens_used': 1}
2024-04-18 12:13:48,894 - {'calling_function_name': '__rate_timestamps_correctness', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_metrics_analyzer.py', 'calling_line': 89, 'tokens_used': 1056, 'input_tokens_used': 1055, 'output_tokens_used': 1}
2024-04-18 12:13:49,462 - {'calling_function_name': '__rate_timestamps_correctness', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_metrics_analyzer.py', 'calling_line': 89, 'tokens_used': 1056, 'input_tokens_used': 1055, 'output_tokens_used': 1}
2024-04-18 12:13:50,052 - {'calling_function_name': '__rate_timestamps_correctness', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_metrics_analyzer.py', 'calling_line': 89, 'tokens_used': 1059, 'input_tokens_used': 1058, 'output_tokens_used': 1}
2024-04-18 12:13:50,567 - {'calling_function_name': '__find_activity', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_trace_comparator.py', 'calling_line': 125, 'tokens_used': 186, 'input_tokens_used': 185, 'output_tokens_used': 1}
2024-04-18 12:13:51,207 - {'calling_function_name': '__find_activity', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_trace_comparator.py', 'calling_line': 125, 'tokens_used': 183, 'input_tokens_used': 182, 'output_tokens_used': 1}
2024-04-18 12:13:51,903 - {'calling_function_name': '__find_activity', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_trace_comparator.py', 'calling_line': 125, 'tokens_used': 182, 'input_tokens_used': 181, 'output_tokens_used': 1}
2024-04-18 12:13:52,821 - {'calling_function_name': '__find_activity', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_trace_comparator.py', 'calling_line': 125, 'tokens_used': 186, 'input_tokens_used': 185, 'output_tokens_used': 1}
2024-04-18 12:13:53,363 - {'calling_function_name': '__find_activity', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_trace_comparator.py', 'calling_line': 125, 'tokens_used': 183, 'input_tokens_used': 182, 'output_tokens_used': 1}
2024-04-18 12:13:55,858 - {'calling_function_name': '__find_activity', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_trace_comparator.py', 'calling_line': 125, 'tokens_used': 190, 'input_tokens_used': 189, 'output_tokens_used': 1}
2024-04-18 12:13:56,422 - {'calling_function_name': '__find_activity', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_trace_comparator.py', 'calling_line': 125, 'tokens_used': 187, 'input_tokens_used': 186, 'output_tokens_used': 1}
2024-04-18 12:13:57,001 - {'calling_function_name': '__find_activity', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_trace_comparator.py', 'calling_line': 125, 'tokens_used': 186, 'input_tokens_used': 185, 'output_tokens_used': 1}
2024-04-18 12:13:57,433 - {'calling_function_name': '__find_activity', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_trace_comparator.py', 'calling_line': 125, 'tokens_used': 190, 'input_tokens_used': 189, 'output_tokens_used': 1}
2024-04-18 12:13:58,097 - {'calling_function_name': '__find_activity', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_trace_comparator.py', 'calling_line': 125, 'tokens_used': 187, 'input_tokens_used': 186, 'output_tokens_used': 1}
2024-04-18 12:14:00,562 - {'calling_function_name': '__find_activity', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_trace_comparator.py', 'calling_line': 125, 'tokens_used': 189, 'input_tokens_used': 188, 'output_tokens_used': 1}
2024-04-18 12:14:01,120 - {'calling_function_name': '__find_activity', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_trace_comparator.py', 'calling_line': 125, 'tokens_used': 186, 'input_tokens_used': 185, 'output_tokens_used': 1}
2024-04-18 12:14:01,635 - {'calling_function_name': '__find_activity', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_trace_comparator.py', 'calling_line': 125, 'tokens_used': 185, 'input_tokens_used': 184, 'output_tokens_used': 1}
2024-04-18 12:14:02,092 - {'calling_function_name': '__find_activity', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_trace_comparator.py', 'calling_line': 125, 'tokens_used': 189, 'input_tokens_used': 188, 'output_tokens_used': 1}
2024-04-18 12:14:02,659 - {'calling_function_name': '__find_activity', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_trace_comparator.py', 'calling_line': 125, 'tokens_used': 186, 'input_tokens_used': 185, 'output_tokens_used': 1}
2024-04-18 12:14:05,321 - {'calling_function_name': '__find_activity', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_trace_comparator.py', 'calling_line': 125, 'tokens_used': 189, 'input_tokens_used': 188, 'output_tokens_used': 1}
2024-04-18 12:14:05,881 - {'calling_function_name': '__find_activity', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_trace_comparator.py', 'calling_line': 125, 'tokens_used': 188, 'input_tokens_used': 187, 'output_tokens_used': 1}
2024-04-18 12:14:06,441 - {'calling_function_name': '__find_activity', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_trace_comparator.py', 'calling_line': 125, 'tokens_used': 192, 'input_tokens_used': 191, 'output_tokens_used': 1}
2024-04-18 12:14:06,953 - {'calling_function_name': '__find_activity', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_trace_comparator.py', 'calling_line': 125, 'tokens_used': 189, 'input_tokens_used': 188, 'output_tokens_used': 1}
2024-04-18 12:14:07,571 - {'calling_function_name': '__find_activity', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_trace_comparator.py', 'calling_line': 125, 'tokens_used': 189, 'input_tokens_used': 188, 'output_tokens_used': 1}
2024-04-18 12:14:10,100 - {'calling_function_name': '__find_activity', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_trace_comparator.py', 'calling_line': 125, 'tokens_used': 182, 'input_tokens_used': 181, 'output_tokens_used': 1}
2024-04-18 12:14:10,644 - {'calling_function_name': '__find_activity', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_trace_comparator.py', 'calling_line': 125, 'tokens_used': 186, 'input_tokens_used': 185, 'output_tokens_used': 1}
2024-04-18 12:14:11,179 - {'calling_function_name': '__find_activity', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_trace_comparator.py', 'calling_line': 125, 'tokens_used': 183, 'input_tokens_used': 182, 'output_tokens_used': 1}
2024-04-18 12:14:11,770 - {'calling_function_name': '__find_activity', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_trace_comparator.py', 'calling_line': 125, 'tokens_used': 183, 'input_tokens_used': 182, 'output_tokens_used': 1}
2024-04-18 12:14:12,282 - {'calling_function_name': '__find_activity', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_trace_comparator.py', 'calling_line': 125, 'tokens_used': 190, 'input_tokens_used': 189, 'output_tokens_used': 1}
2024-04-18 12:14:14,824 - {'calling_function_name': '__find_activity', 'calling_file': '/Users/pit/TracEX/tracex_project/extraction/logic/modules/module_trace_comparator.py', 'calling_line': 125, 'tokens_used': 188, 'input_tokens_used': 187, 'output_tokens_used': 1}
